"Source:","E:\Kicad\LogicAnalyser Mine\jitx-design.kicad_sch"
"Date:","2025-12-02T13:05:57+0000"
"Tool:","Eeschema 9.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","26"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12","12","100n","my_capacitor_11","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"D1","1","LL4148","C435829","jitx-design:LL_34_L3_5_W1_5_RD","","",""
"J1","1","PM254-1-03-W-8.5","C2897385","jitx-design:HDR_TH_3P_P2_54_H_F_W10_0_N","","",""
"J2","1","C97095","C97095_1","jitx-design:HDR_TH_32P_P2_54_H_M_R2_C16_S2_54_1","","",""
"J3","1","DZ254W-11-03-65","C2935928","jitx-design:HDR_TH_3P_P2_54_H_M_W10_0","","",""
"R1","1","100K","my_resistor_1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"R2","1","8K2","my_resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","",""
"S1","1","SK-13D01-G030","C2848875","jitx-design:SW_TH_SK_13D01_G030","","",""
"U1","1","TXU0104PWR","C2938871_5","jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_5","","",""
"U2","1","TXU0104PWR","C2938871_4","jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_4","","",""
"U3","1","TXU0104PWR","C2938871","jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL","","",""
"U4","1","TXU0104PWR","C2938871_3","jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_3","","",""
"U5","1","TXU0104PWR","C2938871_1","jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_1","","",""
"U6","1","TXU0104PWR","C2938871_2","jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_2","","",""
"U7","1","PICO 2W","C7203002","Pico2W:RPi_Pico2W_SMD_TH","-  Raspberry Pi ROHS","",""
